symbol,attempted_symbol,resolved_symbol,did_retry,final_status,reason,picked_from,picked_symbol,picked_from_raw,row_ticker,row_symbol,row_yahoo,row_yahoosymbol,name,isin
RLNIY,RLNIY,RLNIY,0,failed,close/volume history missing or empty,YahooSymbol,RLNIY,YahooSymbol,RLNIY,RLNIY,RLNIY,RLNIY,RELIANCE INDS,US7594701077
SQ,SQ,SQ,0,failed,close/volume history missing or empty,YahooSymbol,SQ,YahooSymbol,SQ,SQ,SQ,SQ,BLOCK INC. A,US8522341036
