symbol,name,score_prev,score_now,score_delta,rank_prev,rank_now,rank_prev_common,rank_now_common,rank_delta,status
CRYPTO:SOL,SOLANA (KRYPTO),24.08,24.28,0.20000000000000284,68,68,68,68,0,ok
CRYPTO:BTC,Bitcoin,24.14,24.16,0.019999999999999574,66,69,66,69,-3,ok
NESN.SW,NESTLE NAM.,23.84,24.1,0.26000000000000156,71,70,71,70,1,ok
TEAM,ATLASSIAN CORP.,24.0,24.05,0.05000000000000071,69,71,69,71,-2,ok
NFLX,NETFLIX INC.,23.21,23.99,0.7799999999999976,79,72,79,72,7,ok
SPOT,SPOTIFY TECH.,22.93,23.88,0.9499999999999993,82,73,82,73,9,ok
DSV.TO,DISCOVERY SILVER,23.73,23.69,-0.03999999999999915,72,74,72,74,-2,ok
NDA.DE,AURUBIS AG,23.66,23.69,0.030000000000001137,73,74,73,74,-1,ok
NXP,NXP SEMICONDUCTORS NV,23.34,23.56,0.21999999999999886,78,76,78,76,2,ok
ASX,"ASE Technology Holding Co., Ltd.",23.52,23.33,-0.19000000000000128,77,77,77,77,0,ok
XYZ,BLOCK INC. A,23.19,23.05,-0.14000000000000057,80,78,80,78,2,ok
COIN,COINBASE GLB.,23.65,23.01,-0.639999999999997,74,79,74,79,-5,ok
SN.L,SMITH + NEP. DL,22.65,22.96,0.3100000000000023,83,80,83,80,3,ok
ISRG,INTUITIVE SURGICAL INC,22.48,22.88,0.3999999999999986,86,81,86,81,5,ok
AUTO.OL,AUTOSTORE HOLDINGS,22.59,22.84,0.25,84,82,84,82,2,ok
NOW,SERVICENOW INC.,22.49,22.82,0.33000000000000185,85,83,85,83,2,ok
PYPL,PAYPAL HDGS,24.79,22.72,-2.0700000000000003,61,84,61,84,-23,ok
AMAT,"Applied Materials, Inc.",23.53,22.55,-0.9800000000000004,76,85,76,85,-9,ok
SNN,SMITH & NEPHEW PLC,22.09,22.38,0.28999999999999915,91,86,91,86,5,ok
1810.HK,XIAOMI CORP. CL.B,22.02,22.32,0.3000000000000007,92,87,92,87,5,ok
PKX,POSCO HOL.ADR,22.36,22.31,-0.05000000000000071,87,88,87,88,-1,ok
EQX.TO,EQUINOX GOLD,23.04,22.13,-0.9100000000000001,81,89,81,89,-8,ok
SGM.AX,Sims Limited,22.13,21.94,-0.18999999999999773,90,90,90,90,0,ok
BAYN.DE,BAYER AG,21.63,21.91,0.28000000000000114,96,91,96,91,5,ok
CSTM,CONSTELLIUM SE,22.25,21.89,-0.35999999999999943,88,92,88,92,-4,ok
UMI.BR,UMICORE,21.4,21.88,0.4800000000000004,97,93,97,93,4,ok
UNH,UNITEDHEALTH,21.4,21.66,0.26000000000000156,97,94,97,94,3,ok
ZETA,ZETA GLOBAL,21.94,21.45,-0.490000000000002,93,95,93,95,-2,ok
CGNX,COGNEX CORP.,21.79,21.41,-0.379999999999999,95,96,95,96,-1,ok
TOM.OL,Tomra Systems ASA,20.9,21.39,0.490000000000002,100,97,100,97,3,ok
LRCX,Lam Research Corporation,22.25,21.35,-0.8999999999999986,88,98,88,98,-10,ok
NRDS,NERDWALLET INC,20.89,21.31,0.41999999999999815,101,99,101,99,2,ok
JD,JD.COM ADR,20.48,21.05,0.5700000000000003,103,100,103,100,3,ok
EDR.TO,ENDEAVOUR SILVER,21.82,20.42,-1.3999999999999986,94,101,94,101,-7,ok
TME,TENCENT MUSIC ENTERTAINMENT GROUP,20.64,20.42,-0.21999999999999886,102,101,102,101,1,ok
005930.KS,"Samsung Electronics Co., Ltd.",20.42,20.4,-0.020000000000003126,104,103,104,103,1,ok
NOVO-B.CO,NOVO-NORDISK,21.16,20.2,-0.9600000000000009,99,104,99,104,-5,ok
RIGD.IL,RELIANCE INDS,19.92,20.0,0.0799999999999983,106,105,106,105,1,ok
FANUY,FANUC CORP.,19.76,19.72,-0.0400000000000027,108,106,108,106,2,ok
ACB.TO,Aurora Cannabis,20.01,19.64,-0.370000000000001,105,107,105,107,-2,ok
9988.HK,Alibaba Group Holding Limited,19.35,19.49,0.13999999999999702,110,108,110,108,2,ok
6861.T,KEYENCE CORP.,19.02,19.45,0.4299999999999997,112,109,112,109,3,ok
FIGR,Figure Technology Solutions,19.48,19.39,-0.08999999999999986,109,110,109,110,-1,ok
TTAN,ServiceTitan,19.27,19.24,-0.030000000000001137,111,111,111,111,0,ok
KLAC,KLA Corporation,19.88,19.06,-0.8200000000000003,107,112,107,112,-5,ok
000660.KS,SK hynix Inc.,18.74,18.73,-0.00999999999999801,115,113,115,113,2,ok
SNOW,SNOWFLAKE INC. A,18.9,18.51,-0.389999999999997,114,114,114,114,0,ok
OGN,ORGANON + CO.,18.25,18.41,0.16000000000000014,120,115,120,115,5,ok
ORCL,ORACLE CORP,18.38,18.3,-0.0799999999999983,119,116,119,116,3,ok
SOLB.BR,SOLVAY S.A. A,17.94,18.14,0.1999999999999993,123,117,123,117,6,ok
CCJ,CAMECO CORP.,19.01,18.1,-0.9100000000000001,113,118,113,118,-5,ok
CNC,CENTENE CORP.,18.5,17.95,-0.5500000000000007,117,119,117,119,-2,ok
CRYPTO:ADA,Cardano,18.13,17.86,-0.2699999999999996,122,120,122,120,2,ok
MNSO,MINISO GRP ADS,18.18,17.82,-0.35999999999999943,121,121,121,121,0,ok
CPB,CAMPBELLS CO.,17.25,17.81,0.5599999999999987,126,122,126,122,4,ok
RI.PA,PERNOD RICARD,18.39,17.78,-0.6099999999999994,118,123,118,123,-5,ok
9888.HK,"Baidu, Inc. Class A",17.41,17.58,0.16999999999999815,124,124,124,124,0,ok
TEM,Tempus AI,18.64,17.28,-1.3599999999999994,116,125,116,125,-9,ok
MC.PA,LVMH EO,17.19,17.25,0.05999999999999872,127,126,127,126,1,ok
6506.T,YASKAWA ELECTRIC CORPORATION,17.12,17.24,0.11999999999999744,128,127,128,127,1,ok
IFX.DE,INFINEON TECH.,16.81,17.11,0.3000000000000007,130,128,130,128,2,ok
OXY,OCCIDENTAL PET.,17.28,17.01,-0.2699999999999996,125,129,125,129,-4,ok
YCA.L,YELLOW CAKE PLC,16.21,16.95,0.7399999999999984,132,130,132,130,2,ok
PGY,Pagaya Technologies Ltd.,16.83,16.7,-0.129999999999999,129,131,129,131,-2,ok
FME.DE,FRESEN.MED.CARE,16.45,16.61,0.16000000000000014,131,132,131,132,-1,ok
VOW3.DE,Volkswagen AG Vz.,15.26,15.72,0.46000000000000085,133,133,133,133,0,ok
NKE,NIKE INC. B,14.64,15.0,0.35999999999999943,135,134,135,134,1,ok
CRYPTO:DOGE,DOGECOIN (KRYPTO),14.99,14.87,-0.120000000000001,134,135,134,135,-1,ok
TSLA,Tesla,14.22,14.34,0.11999999999999922,136,136,136,136,0,ok
ENR.DE,SIEMENS ENERGY,13.39,13.48,0.08999999999999986,139,137,139,137,2,ok
AMKR,"Amkor Technology, Inc.",14.13,13.35,-0.7800000000000011,137,138,137,138,-1,ok
RKLB,"Rocket Lab USA, Inc.",12.82,12.87,0.049999999999998934,141,139,141,139,2,ok
SYM,Symbotic Inc.,13.47,12.87,-0.6000000000000014,138,139,138,139,-1,ok
CDNL,Cardinal Infrastructure,13.11,12.85,-0.2599999999999998,140,141,140,141,-1,ok
BIDU,BAIDU INC,12.65,12.83,0.17999999999999972,142,142,142,142,0,ok
TTK.DE,TAKKT AG,12.52,12.5,-0.019999999999999574,143,143,143,143,0,ok
9880.HK,UBTECH ROBOT.CORP.,11.93,12.18,0.25,146,144,146,144,2,ok
RGTI,"Rigetti Computing, Inc.",11.97,11.98,0.009999999999999787,144,145,144,145,-1,ok
ASTS,"AST SpaceMobile, Inc.",11.86,11.94,0.08000000000000007,147,146,147,146,1,ok
APLD,Applied Digital,11.97,11.86,-0.11000000000000121,144,147,144,147,-3,ok
QBTS,D-Wave Quantum Inc.,11.73,11.76,0.02999999999999936,148,148,148,148,0,ok
XSDG.F,SAMSUNG SDI,10.65,11.59,0.9399999999999995,157,149,157,149,8,ok
LGO,LARGO INC,11.3,11.46,0.16000000000000014,153,150,153,150,3,ok
ALB,ALBEMARLE CORP.,10.99,11.32,0.33000000000000007,156,151,156,151,5,ok
PPTA,Perpetua Resources,11.07,11.25,0.17999999999999972,155,152,155,152,3,ok
CRYPTO:XRP,XRP (KRYPTO),11.63,11.22,-0.41000000000000014,149,153,149,153,-4,ok
PL,Planet Labs PBC,11.4,11.19,-0.21000000000000085,152,154,152,154,-2,ok
RCAT,Red Cat Holdings,11.42,11.08,-0.33999999999999986,150,155,150,155,-5,ok
ON,ON SEMICOND.,9.81,10.86,1.049999999999999,158,156,158,156,2,ok
VZLA.TO,VIZSLA SILVER,11.28,10.22,-1.0599999999999987,154,157,154,157,-3,ok
YASKY,YASKAWA EL. CORP.,9.72,9.65,-0.07000000000000028,159,158,159,158,1,ok
UEC,URANIUM ENERGY CORP,11.41,9.62,-1.790000000000001,151,159,151,159,-8,ok
FLNC,FLUENCE ENER.,9.54,9.32,-0.21999999999999886,160,160,160,160,0,ok
SLVR.V,SILVER TIGER,9.18,9.22,0.040000000000000924,161,161,161,161,0,ok
GOT.V,GOLIATH RES,8.89,7.89,-1.0000000000000009,162,162,162,162,0,ok
AAGFF,AFTERMATH SILVER,7.95,7.31,-0.6400000000000006,163,163,163,163,0,ok
UAA,UNDER ARMOUR,5.97,6.44,0.47000000000000064,165,164,165,164,1,ok
DVLT,Datavault AI Inc.,6.18,6.07,-0.10999999999999943,164,165,164,165,-1,ok
DV.V,DOLLY VARDEN,4.77,4.9,0.13000000000000078,166,166,166,166,0,ok
MBLY,Mobileye Global,4.39,4.44,0.05000000000000071,167,167,167,167,0,ok
QS,QUANTUMSCAPE A,4.39,4.24,-0.14999999999999947,167,168,167,168,-1,ok
LUMN,LUMEN TECHN.,3.98,4.16,0.18000000000000016,169,169,169,169,0,ok
STLA,Stellantis N.V.,2.49,2.77,0.2799999999999998,170,170,170,170,0,ok
MGMA.V,MAGMA SILVER,2.28,2.05,-0.22999999999999998,171,171,171,171,0,ok
SMX,SMX (Security Matters) Public,1.61,0.69,-0.9200000000000002,172,172,172,172,0,ok
