date,symbol,name,score,opportunity,risk,confidence,confidence_label,rs3m,trend200,liquidity_risk,volatility,drawdown,roe,growth,margin,debt_ratio,close,currency,sector,market_regime_stock,market_regime_crypto,market_trend200_stock,market_trend200_crypto,run_id,universe_version,config_version
2026-02-10,CA2546771072,DISCOVERY SILVER,60.76,,,,,0.560382,0.872318,,0.049771,0.242991,11.07,0.0,9.5,100.0,10.08,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA2568277834,DOLLY VARDEN,34.6,,,,,0.077882,0.188645,,0.039333,0.302174,-26.19,0.0,0.0,100.0,6.53,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA29258Y1034,ENDEAVOUR SILVER,56.5,,,,,0.455038,0.67764,,0.049144,0.367376,-20.46,167.3,-27.97,31.741,16.46,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA29446Y5020,EQUINOX GOLD,49.39,,,,,0.223925,0.543598,,0.033427,0.232742,1.41,91.2,2.71,34.774,21.52,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,ETH-USD,ETHEREUM (KRYPTO),21.82,,,,,-0.149133,-0.449811,,0.041176,0.624615,0.0,0.0,0.0,100.0,1691.68,EUR,Kryptowährungen 🪙,bull,bear,0.074825,-0.325032,,,
2026-02-10,FANUY,FANUC CORP.,21.99,,,,,0.310878,0.417256,,0.024644,0.266136,9.37,9.5,19.35,100.0,22.24,USD,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA32076V1031,FIRST MAJESTIC,100.36,,,,,0.903774,0.962577,,0.043608,0.3013,4.21,95.1,7.07,7.886,32.26,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,FSLR,FIRST SOLAR INC,63.78,,,,,-0.18924,0.08015,,0.040255,0.266378,16.86,79.7,27.73,9.893,226.24,USD,Energie,bull,bear,0.074825,-0.325032,,,
2026-02-10,US34379V1035,FLUENCE ENER.,-6.47,,,,,-0.121135,0.43567,,0.069937,0.509511,-14.46,154.4,-2.04,82.778,18.99,USD,Experimente,bull,bear,0.074825,-0.325032,,,
2026-02-10,FCX,FREEPORT-MCMORAN,42.11,,,,,0.558956,0.421581,,0.032016,0.322251,13.95,-1.5,8.51,33.768,63.28,USD,Fundament,bull,bear,0.074825,-0.325032,,,
2026-02-10,DE0005785802,FRESEN.MED.CARE,10.8,,,,,-0.0129,0.046668,,0.005283,0.071835,0.0,0.0,-80.39,72.403,11.54,USD,Pharma & Gesundheit,bull,bear,0.074825,-0.325032,,,
2026-02-10,GB00B2QPKJ12,FRESNILLO PLC,96.51,,,,,0.610467,0.738874,,0.031058,0.208524,13.85,30.1,11.56,20.456,3800.0,GBp,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA38171A2092,GOLIATH RES,23.06,,,,,-0.139627,0.007701,,0.048508,0.483271,-164.74,0.0,0.0,100.0,2.47,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,US4227041062,HECLA MNG,46.06,,,,,0.622281,0.913652,,0.045153,0.330085,8.88,67.1,16.27,11.711,22.99,USD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,US45337C1027,INCYTE DL,57.01,,,,,-0.090509,0.177795,,0.022389,0.258468,30.39,20.0,24.7,0.887,100.05,USD,Pharma & Gesundheit,bull,bear,0.074825,-0.325032,,,
2026-02-10,IFX.DE,INFINEON TECH.,53.59,,,,,0.229154,0.203429,,0.023262,0.367909,5.71,7.0,6.88,41.673,42.87,EUR,Gehirn,bull,bear,0.074825,-0.325032,,,
2026-02-10,US4571871023,INGREDION INC,49.76,,,,,0.067846,-0.029318,,0.011911,0.239389,18.1,-2.4,10.1,41.609,118.71,USD,Konsum & Lifestyle,bull,bear,0.074825,-0.325032,,,
2026-02-10,US47215P1066,JD.COM ADR,54.65,,,,,-0.142765,-0.110152,,0.023744,0.377894,11.72,14.9,2.47,36.821,28.35,USD,E-Commerce,bull,bear,0.074825,-0.325032,,,
2026-02-10,JP3236200006,KEYENCE CORP.,35.57,,,,,-0.018041,-0.013331,,0.02008,0.219456,0.0,0.0,0.0,100.0,56630.0,JPY,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,US5006311063,KOREA EL. PWR ADR 1/2,106.75,,,,,0.335688,0.441436,,0.031706,0.15587,19.12,5.6,8.47,279.916,20.91,USD,Energie,bull,bear,0.074825,-0.325032,,,
2026-02-10,US54951L1098,LUCKIN COFFEE,66.53,,,,,-0.047088,0.017255,,0.031646,0.269586,27.39,50.2,8.48,41.484,37.03,USD,Konsum & Lifestyle,bull,bear,0.074825,-0.325032,,,
2026-02-10,US5502411037,LUMEN TECHN.,11.76,,,,,-0.294536,0.258319,,0.052399,0.473373,0.0,-8.7,-14.02,100.0,7.78,USD,Medien & Digitales 📱,bull,bear,0.074825,-0.325032,,,
2026-02-10,FR0000121014,LVMH EO,46.55,,,,,-0.156838,0.002711,,0.020012,0.376986,16.24,-4.7,13.46,53.342,537.7,EUR,Konsum & Lifestyle,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA5589221004,MAGMA SILVER,10.16,,,,,0.432112,0.53685,,0.085641,0.653061,-2465.46,0.0,0.0,100.0,0.33,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,US57636Q1040,MASTERCARD INC,55.58,,,,,-0.05419,-0.039996,,0.014685,0.167254,209.91,17.6,45.65,245.288,540.32,USD,Finanzen,bull,bear,0.074825,-0.325032,,,
2026-02-10,MSFT,MICROSOFT DL,73.48,,,,,-0.201167,-0.149974,,0.016606,0.272406,34.39,16.7,39.04,31.539,413.27,USD,Gehirn,bull,bear,0.074825,-0.325032,,,
2026-02-10,US66981J1025,MINISO GRP ADS,52.5,,,,,-0.104187,-0.049569,,0.033414,0.356859,21.17,28.2,10.81,101.459,19.24,USD,Konsum & Lifestyle,bull,bear,0.074825,-0.325032,,,
2026-02-10,JP3902400005,MITSUBISHI EL.,23.68,,,,,0.294663,0.543133,,0.023985,0.240845,9.51,4.9,6.59,8.262,5814.0,JPY,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,CH0038863350,NESTLE NAM.,47.65,,,,,-0.036073,0.006318,,0.013465,0.199639,33.76,-1.8,11.34,225.855,78.92,CHF,Konsum & Lifestyle,bull,bear,0.074825,-0.325032,,,
2026-02-10,US64110L1061,NETFLIX INC.,56.17,,,,,-0.289669,-0.266845,,0.020501,0.403045,42.76,17.6,24.3,63.782,82.21,USD,Medien & Digitales 📱,bull,bear,0.074825,-0.325032,,,
2026-02-10,AU0000297962,NEWMONT CORP.,64.83,,,,,0.276464,0.407957,,0.025954,0.211923,22.88,20.0,33.42,16.914,167.48,AUD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,US6541061031,NIKE INC. B,49.18,,,,,0.003706,-0.05343,,0.026467,0.344841,17.95,0.6,5.43,80.099,63.03,USD,Konsum & Lifestyle,bull,bear,0.074825,-0.325032,,,
2026-02-10,DK0062498333,NOVO-NORDISK,59.49,,,,,-0.008492,-0.158449,,0.034322,0.560614,60.7,-7.6,33.14,67.488,314.95,DKK,Pharma & Gesundheit,bull,bear,0.074825,-0.325032,,,
2026-02-10,NVDA,NVIDIA CORP.,74.21,,,,,-0.032426,0.105753,,0.028152,0.326824,107.36,62.5,53.01,9.102,188.54,USD,Gehirn,bull,bear,0.074825,-0.325032,,,
2026-02-10,US6745991058,OCCIDENTAL PET.,42.26,,,,,0.091899,0.077648,,0.023559,0.303237,5.96,-7.7,8.17,62.221,46.26,USD,Energie,bull,bear,0.074825,-0.325032,,,
2026-02-10,US6821891057,ON SEMICOND.,55.64,,,,,0.374185,0.296092,,0.037033,0.426803,1.5,-11.2,2.02,39.064,67.38,USD,Gehirn,bull,bear,0.074825,-0.325032,,,
2026-02-10,US68622V1061,ORGANON + CO.,43.85,,,,,0.121203,-0.127336,,0.03943,0.605198,71.62,1.3,7.95,974.393,7.82,USD,Pharma & Gesundheit,bull,bear,0.074825,-0.325032,,,
2026-02-10,PLTR,PALANTIR TECHN.,53.25,,,,,-0.250819,-0.131133,,0.039708,0.406115,25.98,70.0,36.31,3.063,139.45,USD,Gehirn,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA6979001089,PAN AMER. SILVER,53.72,,,,,0.50526,0.564774,,0.033037,0.207959,11.29,19.3,19.48,13.316,80.41,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,US70450Y1038,PAYPAL HDGS,50.19,,,,,-0.406558,-0.37467,,0.025468,0.491322,25.73,3.7,15.78,60.703,41.49,USD,Finanzen,bull,bear,0.074825,-0.325032,,,
2026-02-10,FR0000120693,PERNOD RICARD,47.73,,,,,-0.011166,-0.012263,,0.016606,0.280343,10.14,-4.5,14.84,77.61,83.06,EUR,Konsum & Lifestyle,bull,bear,0.074825,-0.325032,,,
2026-02-10,CNE1000003W8,PETROCHINA CO.,50.13,,,,,0.028231,0.247917,,0.017756,0.190031,10.21,2.3,5.55,20.439,9.31,HKD,Energie,bull,bear,0.074825,-0.325032,,,
2026-02-10,US7170811035,PFIZER INC.,42.37,,,,,0.114961,0.152285,,0.016688,0.192595,8.58,-1.2,12.42,66.531,27.62,USD,Pharma & Gesundheit,bull,bear,0.074825,-0.325032,,,
2026-02-10,US6934831099,POSCO HOL.ADR,65.03,,,,,0.196326,0.218431,,0.026449,0.255735,0.81,-5.4,0.95,45.676,63.74,USD,Fundament,bull,bear,0.074825,-0.325032,,,
2026-02-10,US74767V1098,QUANTUMSCAPE A,19.33,,,,,-0.496649,-0.094145,,0.065152,0.579176,-38.65,0.0,0.0,6.004,8.94,USD,Experimente,bull,bear,0.074825,-0.325032,,,
2026-02-10,US7594701077,RELIANCE INDS,50.33,,,,,-0.064495,-0.011271,,0.014199,0.154895,0.0,11.7,7.43,37.389,64.8,USD,Experimente,bull,bear,0.074825,-0.325032,,,
2026-02-10,ROK,ROCKWELL AU.,35.34,,,,,0.073962,0.166014,,0.019766,0.277756,23.74,11.9,11.56,99.289,412.51,USD,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,US7960542030,SAMSUNG SDI,49.61,,,,,0.087599,0.519693,,0.04039,0.390123,-2.59,2.8,-4.89,46.177,54.2,EUR,Energie,bull,bear,0.074825,-0.325032,,,
2026-02-10,SAP.DE,SAP SE O.N.,60.17,,,,,-0.216569,-0.230648,,0.022033,0.407392,16.46,3.3,19.91,17.84,178.28,EUR,Gehirn,bull,bear,0.074825,-0.325032,,,
2026-02-10,DE000ENER6Y0,SIEMENS ENERGY,10.5,,,,,,,,,,0.0,0.0,-80.39,72.403,11.49,USD,Energie,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA82831T1093,SILVER TIGER,33.4,,,,,0.158216,0.461179,,0.053178,0.35,-4.86,0.0,0.0,100.0,0.99,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,GB0009223206,SMITH + NEP. DL,45.55,,,,,-0.021966,0.042116,,0.018187,0.203102,9.14,4.7,8.26,62.392,1287.0,GBp,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,SNOW,SNOWFLAKE INC. A,10.62,,,,,-0.339736,-0.162506,,0.032751,0.434546,-53.09,28.7,-30.76,125.912,182.64,USD,Gehirn,bull,bear,0.074825,-0.325032,,,
2026-02-10,BE0003470755,SOLVAY S.A. A,29.76,,,,,0.045783,0.036411,,0.017972,0.243309,12.58,-3.9,3.14,174.545,27.98,EUR,Experimente,bull,bear,0.074825,-0.325032,,,
2026-02-10,LU1778762911,SPOTIFY TECH.,54.51,,,,,-0.262416,-0.260261,,0.028881,0.468037,22.64,7.1,8.31,28.873,476.34,USD,Medien & Digitales 📱,bull,bear,0.074825,-0.325032,,,
2026-02-10,US8740391003,TAIWAN SEMICON.MANU.ADR/5,66.1,,,,,0.120032,0.28907,,0.023357,0.323434,35.22,20.5,45.1,18.187,6210.81,MXN,Gehirn,bull,bear,0.074825,-0.325032,,,
2026-02-10,DE0007446007,TAKKT AG,9.6,,,,,,,,,,0.0,0.0,-80.39,72.403,11.49,USD,Medien & Digitales 📱,bull,bear,0.074825,-0.325032,,,
2026-02-10,KYG875721634,TENCENT HLDGS,74.56,,,,,-0.18621,-0.049243,,0.019728,0.199632,19.83,15.4,29.86,32.47,551.0,HKD,Gehirn,bull,bear,0.074825,-0.325032,,,
2026-02-10,TER,TERADYNE INC.,47.72,,,,,0.639356,1.161382,,0.038761,0.42674,19.73,43.9,17.37,10.131,304.89,USD,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,CNE100006CQ4,UBTECH ROBOT.CORP.,21.82,,,,,-0.058147,0.178475,,0.042205,0.457556,-48.53,27.6,-70.91,57.216,128.3,HKD,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,UMI.BR,UMICORE,37.92,,,,,0.129508,0.313243,,0.028831,0.298395,7.19,16.8,0.8,142.464,19.37,EUR,Recycling,bull,bear,0.074825,-0.325032,,,
2026-02-10,US9043111072,UNDER ARMOUR,13.13,,,,,0.48684,0.2601,,0.035489,0.434959,-30.39,-5.2,-10.44,117.662,7.09,USD,Konsum & Lifestyle,bull,bear,0.074825,-0.325032,,,
