Ticker,Name,Yahoo,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,ConfidenceScore,ConfidenceLabel,ConfidenceBreakdown,ISIN,Symbol,YahooSymbol,Sektor,Akt. Kurs [€],Volatility,DownsideDev,MaxDrawdown,AvgVolume,DollarVolume,SMA200,Trend200,MarketRegimeStock,MarketTrend200Stock,MarketRegimeCrypto,MarketTrend200Crypto,MarketDate,RS3M,Sector,Industry,Country,Currency,Perf 1D %,Perf 1Y %,cycle,AssetType,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags
ISRG,INTUITIVE SURGICAL INC,ISRG,478.3900146484375,USD,-3.8025283749662298,0.0,0.0,Seitwärts,0.0,0.0,44.7,47.5,Zyklus-neutral,16.69,0.953,0.0,2274837504.0,170196434944.0,10064700416.0,1.34,18.8,28.38,47.18,4.875,88.83,"[37.6, 33.38, 52.35, 52.5, 15.13]",43.30517,32.5,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.6577181208053692, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US46120E6023,ISRG,ISRG,Pharma 🧪,526.07,0.3431804590435118,0.21729815375473455,0.24092660973833957,1679405.65,803410893.5041686,511.6406004333496,-0.06498816895443704,neutral,0.019249628470205504,bear,-0.25469005116904364,2026-03-12,-0.1148479624755333,Healthcare,Medical Instruments & Supplies,United States,USD,-2.9378904401163974,-3.8025283749662298,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
ROK,ROCKWELL AU.,ROK,361.30499267578125,USD,40.02756022901175,0.0,0.0,Seitwärts,0.0,0.0,66.6,18.2,Zyklus-Tief,23.74,99.289,134.0,1025500032.0,49741873152.0,8566000128.0,2.06,11.9,11.56,23.46,1.156,86.72,"[23.8, 47.48, 0.0, 81.79, 11.78]",30.140837,31.3,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.5369127516778524, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US7739031091,ROK,ROK,Hardware 💻,420.36,0.3240819146391418,0.22497274613893167,0.19747106037353335,1202747.85,434558803.1350617,364.2728453063965,-0.008147334254681948,neutral,0.019249628470205504,bear,-0.25469005116904364,2026-03-12,-0.09158956512496952,Industrials,Specialty Industrial Machinery,United States,USD,-3.200269879228068,40.02756022901175,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
SN.L,SMITH + NEP. DL,SN.L,1240.5,GBp,13.21178224366002,45.65,0.0,Seitwärts,0.0,0.0,63.3,87.2,Zyklus-Hoch,9.14,62.392,226.0,700875008.0,14034447360.0,5944000000.0,4.99,4.7,8.26,12.96,3.003,69.36,"[9.4, 18.28, 0.0, 12.76, 21.21]",15.511343,,,,GB0009223206,SN.L,SN.L,Hardware 💻,1243.0,0.286455898663079,0.21824753781762143,0.1633446016074135,2627497.35,3259410462.675,1261.6099926757813,-0.016732582016894648,neutral,0.019249628470205504,bear,-0.25469005116904364,2026-03-12,0.00935607507246039,Healthcare,Medical Devices,United Kingdom,GBp,-0.24125452352231624,13.21178224366002,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
SNN,SMITH & NEPHEW PLC,SNN,33.17499923706055,USD,17.903140253068116,0.0,0.0,Seitwärts,0.0,0.0,67.3,100.0,Zyklus-Hoch,9.14,62.392,215.0,700875008.0,33722298368.0,5944000000.0,2.08,4.7,8.26,12.96,3.003,7.72,"[9.4, 18.28, 0.0, 0.0, 16.69]",19.562094,22.6,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.1610738255033557, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US83175M2052,SNN,SNN,Pharma 🧪,34.07,0.2974670661057318,0.22213043324069132,0.16887002154256703,927818.65,30780383.005880546,33.69102572441101,-0.015316437426735163,neutral,0.019249628470205504,bear,-0.25469005116904364,2026-03-12,0.016689874090416446,Healthcare,Medical Devices,United Kingdom,USD,-0.5545604613496624,17.903140253068116,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
SYK,STRYKER CORP,SYK,340.82501220703125,USD,-5.459270886690593,0.0,0.0,Seitwärts,0.0,0.0,45.3,47.5,Zyklus-neutral,15.08,66.276,97.0,5600750080.0,148864450560.0,25116000256.0,3.76,11.4,12.92,24.32,1.893,82.26,"[22.8, 30.16, 0.0, 52.47, 22.98]",21.582815,27.3,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.6375838926174496, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US8636671013,SYK,SYK,Pharma 🧪,354.05,0.2224707709606599,0.15429672906207675,0.1513598192348392,1869975.4,637334388.5318481,372.68137725830076,-0.08547882184408229,neutral,0.019249628470205504,bear,-0.25469005116904364,2026-03-12,-0.00965881548258507,Healthcare,Medical Devices,United States,USD,-1.4329881976280157,-5.459270886690593,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
SYM,Symbotic Inc.,SYM,51.599998474121094,,141.68617120450358,,,,,,,,,,,,,,,,,,,,,,,,,,US87151X1019,SYM,SYM,,,0.9352064402281521,0.5718680348931747,0.44318443400818663,1351303.65,69727266.27807426,55.22185000419617,-0.06558729071553848,neutral,0.019249628470205504,bear,-0.25469005116904364,2026-03-12,-0.11895399274403662,Industrials,Specialty Industrial Machinery,United States,,1.1566362909265715,141.68617120450358,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
TER,TERADYNE INC.,TER,292.0,USD,237.8859790693217,0.0,0.0,Seitwärts,0.0,0.0,72.8,86.1,Zyklus-Hoch,19.73,10.131,17.0,276822624.0,47649693696.0,3190023936.0,0.58,43.9,17.37,61.27,1.757,105.27,"[87.8, 39.46, 0.0, 13.9, 5.44]",38.050655,36.2,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.6, ""risk_clean"": 0.0, ""regime_align"": 0.0, ""liquidity"": 0.6912751677852349, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US8807701029,TER,TER,Hardware 💻,239.62,0.6085844198718421,0.34254724985836926,0.2531867278899005,3350677.05,978397698.5999999,165.57946113586425,0.7635037461584857,neutral,0.019249628470205504,bear,-0.25469005116904364,2026-03-12,0.4565153869210219,Technology,Semiconductor Equipment & Materials,United States,USD,-3.308053431380875,237.8859790693217,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
YASKY,YASKAWA EL. CORP.,YASKY,58.709999084472656,USD,7.813785897242265,0.0,0.0,Seitwärts,0.0,0.0,55.7,68.1,Zyklus-neutral,0.0,24.901,129.0,0.0,101908422656.0,539219984384.0,0.0,0.0,6.87,6.87,2.139,0.0,"[0.0, 0.0, 0.0, 31.91, 25.0]",0.0,21.1,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.01342281879194629, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US9850871057,YASKY,YASKY,Hardware 💻,66.06,0.5134652416624809,0.33736222138940497,0.34552884691604036,11853.75,695933.6516475677,51.925514945983885,0.13065800398024763,neutral,0.019249628470205504,bear,-0.25469005116904364,2026-03-12,-0.07804618804198993,Industrials,Electrical Equipment & Parts,Japan,USD,1.3552004449744803,7.813785897242265,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
000660.KS,SK hynix Inc.,000660.KS,930000.0,KRW,370.2948959176238,,,,,,,,,,,,,,,,,,,,,,,,,,KR7000660001,000660.KS,000660.KS,,,0.6064844681023726,0.3970941139014694,0.23930846223839852,4835117.45,4496659228500.0,480887.903359375,0.9339226324954915,neutral,0.019249628470205504,bear,-0.25469005116904364,2026-03-12,0.7391156176478271,Technology,Semiconductors,South Korea,KRW,-2.617801047120416,370.2948959176238,,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software"
005930.KS,"Samsung Electronics Co., Ltd.",005930.KS,187900.0,KRW,249.64085462207964,,,,,,,,,,,,,,,,,,,,,,,,,,KR7005930003,005930.KS,005930.KS,,,0.45771379098379716,0.32386813385466084,0.21009174311926604,35510532.6,6672429075540.0,99513.31306640625,0.8881895719280537,neutral,0.019249628470205504,bear,-0.25469005116904364,2026-03-12,0.8165943887259741,Technology,Semiconductors,South Korea,KRW,-1.1052631578947314,249.64085462207964,,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software"
