Ticker,Name,Yahoo,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,ConfidenceScore,ConfidenceLabel,ConfidenceBreakdown,ISIN,Symbol,YahooSymbol,Sektor,Akt. Kurs [€],Volatility,DownsideDev,MaxDrawdown,AvgVolume,DollarVolume,SMA200,Trend200,MarketRegimeStock,MarketTrend200Stock,MarketRegimeCrypto,MarketTrend200Crypto,MarketDate,RS3M,Sector,Industry,Country,Currency,Perf 1D %,Perf 1Y %,cycle,AssetType,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags
ISRG,INTUITIVE SURGICAL INC,ISRG,387.6449890136719,USD,-10.610850495747027,0.0,0.0,Seitwärts,0.0,0.0,44.7,47.5,Zyklus-neutral,16.69,0.953,0.0,2274837504.0,170196434944.0,10064700416.0,1.34,18.8,28.38,47.18,4.875,88.83,"[37.6, 33.38, 52.35, 52.5, 15.13]",43.30517,32.5,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.6577181208053692, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US46120E6023,ISRG,ISRG,Pharma 🧪,526.07,0.3666048637624281,0.26791325062243354,0.4399595130529892,2207525.25,855736101.2836533,455.99637481689456,-0.149894581575718,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.06824131586935966,Healthcare,Medical Instruments & Supplies,United States,USD,1.4007639093504443,-10.610850495747027,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
ROK,ROCKWELL AU.,ROK,409.0450134277344,USD,20.26828981818238,0.0,0.0,Seitwärts,0.0,0.0,66.6,18.2,Zyklus-Tief,23.74,99.289,134.0,1025500032.0,49741873152.0,8566000128.0,2.06,11.9,11.56,23.46,1.156,86.72,"[23.8, 47.48, 0.0, 81.79, 11.78]",30.140837,31.3,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.5369127516778524, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US7739031091,ROK,ROK,Hardware 💻,420.36,0.30801533366624506,0.2019120768826211,0.18728308848486097,674360.55,275843820.2298844,419.8588087463379,-0.025755790025919878,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.15519501590663087,Industrials,Specialty Industrial Machinery,United States,USD,-1.4159355562209375,20.26828981818238,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
SN.L,SMITH + NEP. DL,SN.L,1035.5,GBp,-24.453801067929206,45.65,0.0,Seitwärts,0.0,0.0,63.3,87.2,Zyklus-Hoch,9.14,62.392,226.0,700875008.0,14034447360.0,5944000000.0,4.99,4.7,8.26,12.96,3.003,69.36,"[9.4, 18.28, 0.0, 12.76, 21.21]",15.511343,,,,GB0009223206,SN.L,SN.L,Hardware 💻,1243.0,0.2620560605277068,0.2204753115081209,0.2884319215975871,2671671.3,2766515631.1499996,1181.0072979736328,-0.12320609552819328,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.1162570928969211,Healthcare,Medical Devices,United Kingdom,GBp,-0.62380038387716,-24.453801067929206,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
SNN,SMITH & NEPHEW PLC,SNN,27.799999237060547,USD,-23.7316211503066,0.0,0.0,Seitwärts,0.0,0.0,67.3,100.0,Zyklus-Hoch,9.14,62.392,215.0,700875008.0,33722298368.0,5944000000.0,2.08,4.7,8.26,12.96,3.003,7.72,"[9.4, 18.28, 0.0, 0.0, 16.69]",19.562094,22.6,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.1610738255033557, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US83175M2052,SNN,SNN,Pharma 🧪,34.07,0.27852477062544817,0.22266797264442573,0.24893781256013403,1878278.75,52216147.81698704,31.61286383628845,-0.12061117331771476,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.09699901794785082,Healthcare,Medical Devices,United Kingdom,USD,0.0,-23.7316211503066,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
SYK,STRYKER CORP,SYK,282.2900085449219,USD,-24.335567664487957,0.0,0.0,Seitwärts,0.0,0.0,45.3,47.5,Zyklus-neutral,15.08,66.276,97.0,5600750080.0,148864450560.0,25116000256.0,3.76,11.4,12.92,24.32,1.893,82.26,"[22.8, 30.16, 0.0, 52.47, 22.98]",21.582815,27.3,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.6375838926174496, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US8636671013,SYK,SYK,Pharma 🧪,354.05,0.29512046575972944,0.2154293809736037,0.2993769952681732,2828283.25,798396102.8099594,333.7440594482422,-0.1541721850821436,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.10163119133332998,Healthcare,Medical Devices,United States,USD,-0.8673975052663097,-24.335567664487957,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
SYM,Symbotic Inc.,SYM,44.60499954223633,,-9.302563510675643,,,,,,,,,,,,,,,,,,,,,,,,,,US87151X1019,SYM,SYM,,,0.8365753189611024,0.5302284817326666,0.5621993140361803,1531829.05,68327234.07403432,51.63454998016358,-0.1361404416350639,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,0.048976401779796674,Industrials,Specialty Industrial Machinery,United States,,3.4678703565728775,-9.302563510675643,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
TER,TERADYNE INC.,TER,356.3399963378906,USD,212.3077531047263,0.0,0.0,Seitwärts,0.0,0.0,72.8,86.1,Zyklus-Hoch,19.73,10.131,17.0,276822624.0,47649693696.0,3190023936.0,0.58,43.9,17.37,61.27,1.757,105.27,"[87.8, 39.46, 0.0, 13.9, 5.44]",38.050655,36.2,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.6, ""risk_clean"": 0.0, ""regime_align"": 0.0, ""liquidity"": 0.6912751677852349, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US8807701029,TER,TER,Hardware 💻,239.62,0.7760922664663031,0.5446216171500051,0.3398437354578995,2325598.6,828703796.6074036,323.7014394378662,0.1008291991432102,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.20717832195823127,Technology,Semiconductor Equipment & Materials,United States,USD,4.452587633935412,212.3077531047263,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
YASKY,YASKAWA EL. CORP.,YASKY,55.97999954223633,USD,34.59966178613498,0.0,0.0,Seitwärts,0.0,0.0,55.7,68.1,Zyklus-neutral,0.0,24.901,129.0,0.0,101908422656.0,539219984384.0,0.0,0.0,6.87,6.87,2.139,0.0,"[0.0, 0.0, 0.0, 31.91, 25.0]",0.0,21.1,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.01342281879194629, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US9850871057,YASKY,YASKY,Hardware 💻,66.06,0.5619474546172217,0.3584862645355733,0.42090398186059197,11915.0,667001.6945457458,67.60938993453979,-0.17200850952157942,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.3776522466676775,Industrials,Electrical Equipment & Parts,Japan,USD,1.1382133432393804,34.59966178613498,0.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices"
000660.KS,SK hynix Inc.,000660.KS,1759000.0,KRW,428.99108539877284,,,,,,,,,,,,,,,,,,,,,,,,,,KR7000660001,000660.KS,000660.KS,,,0.9213440878632544,0.6017742795617734,0.5471051921241235,3504003.0,6163541277000.0,1353735.70375,0.2993673692193921,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.2325798028618683,Technology,Semiconductors,South Korea,KRW,4.082840236686391,428.99108539877284,,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software"
005930.KS,"Samsung Electronics Co., Ltd.",005930.KS,253500.0,KRW,228.23683469146113,,,,,,,,,,,,,,,,,,,,,,,,,,KR7005930003,005930.KS,005930.KS,,,0.7632119054692306,0.5094922019283411,0.42833575022000525,18538105.05,4699409630175.0,217878.1727734375,0.1634942443895202,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.24848509793618623,Technology,Semiconductors,South Korea,KRW,2.012072434607637,228.23683469146113,,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software"
