yahoo_symbol,sector,industry,country,currency,long_name,fetched_at
VOW3.DE,Consumer Cyclical,Auto Manufacturers,Germany,EUR,Volkswagen AG,2026-02-14T19:59:14Z
ADA-EUR,,,,EUR,Cardano EUR,2026-02-14T19:59:15Z
DOGE-EUR,,,,EUR,Dogecoin EUR,2026-02-14T19:59:17Z
SOL-EUR,,,,EUR,Solana EUR,2026-02-14T19:59:18Z
XRP-EUR,,,,EUR,XRP EUR,2026-02-14T19:59:20Z
META,Communication Services,Internet Content & Information,United States,USD,"Meta Platforms, Inc.",2026-02-14T19:59:21Z
XOM,Energy,Oil & Gas Integrated,United States,USD,Exxon Mobil Corporation,2026-02-14T19:59:22Z
ORCL,Technology,Software - Infrastructure,United States,USD,Oracle Corporation,2026-02-14T19:59:23Z
MU,Technology,Semiconductors,United States,USD,"Micron Technology, Inc.",2026-02-14T19:59:24Z
CVX,Energy,Oil & Gas Integrated,United States,USD,Chevron Corporation,2026-02-14T19:59:25Z
PM,Consumer Defensive,Tobacco,United States,USD,Philip Morris International Inc.,2026-02-14T19:59:26Z
ISRG,Healthcare,Medical Instruments & Supplies,United States,USD,"Intuitive Surgical, Inc.",2026-02-14T19:59:28Z
BLK,Financial Services,Asset Management,United States,USD,"BlackRock, Inc.",2026-02-14T19:59:29Z
SYK,Healthcare,Medical Devices,United States,USD,Stryker Corporation,2026-02-14T19:59:30Z
VALE,Basic Materials,Other Industrial Metals & Mining,Brazil,USD,Vale S.A.,2026-02-14T19:59:31Z
NXP,Financial Services,Asset Management,United States,USD,Nuveen Select Tax-Free Income Portfolio,2026-02-14T19:59:33Z
BIDU,Communication Services,Internet Content & Information,China,USD,"Baidu, Inc.",2026-02-14T19:59:34Z
OXY,Energy,Oil & Gas E&P,United States,USD,Occidental Petroleum Corporation,2026-02-14T19:59:35Z
TME,Communication Services,Internet Content & Information,China,USD,Tencent Music Entertainment Group,2026-02-14T19:59:36Z
KEP,Utilities,Utilities - Regulated Electric,South Korea,USD,Korea Electric Power Corporation,2026-02-14T19:59:38Z
ON,Technology,Semiconductors,United States,USD,ON Semiconductor Corporation,2026-02-14T19:59:39Z
INCY,Healthcare,Biotechnology,United States,USD,Incyte Corporation,2026-02-14T19:59:40Z
PKX,Basic Materials,Steel,South Korea,USD,POSCO Holdings Inc.,2026-02-14T19:59:41Z
SNN,Healthcare,Medical Devices,United Kingdom,USD,Smith & Nephew plc,2026-02-14T19:59:42Z
UEC,Energy,Uranium,United States,USD,Uranium Energy Corp.,2026-02-14T19:59:44Z
QS,Consumer Cyclical,Auto Parts,United States,USD,QuantumScape Corporation,2026-02-14T19:59:45Z
FLNC,Utilities,Utilities - Renewable,United States,USD,"Fluence Energy, Inc.",2026-02-14T19:59:46Z
CSTM,Basic Materials,Aluminum,France,USD,Constellium SE,2026-02-14T19:59:47Z
