Priority;ISIN;Name;CurrentSymbol;SuggestedYahooSymbol;Notes
TARGET;CA0084741085;AGNICO EAGLE;CA0084741085;;In target portfolio (by name)
TARGET;CA0539061030;AVINO SILVER;CA0539061030;;In target portfolio (by name)
TARGET;CA32076V1031;FIRST MAJESTIC;CA32076V1031;;In target portfolio (by name)
TARGET;GB00B2QPKJ12;FRESNILLO PLC;GB00B2QPKJ12;;In target portfolio (by name)
TARGET;US5006311063;KOREA EL. PWR ADR 1/2;US5006311063;;In target portfolio (by name)
TARGET;KYG875721634;TENCENT HLDGS;KYG875721634;;In target portfolio (by name)
TARGET;CA9628791027;WHEATON PREC.;CA9628791027;;In target portfolio (by name)
TARGET;US98956A1051;ZETA GLOBAL;US98956A1051;;In target portfolio (by name)
