date,symbol,name,score,opportunity,risk,confidence,confidence_label,rs3m,trend200,cycle,close,currency,sector,pillar_primary,cluster_official,bucket_type,volatility,drawdown,roe,growth,margin,debt_ratio,market_regime_stock,market_regime_crypto,market_trend200_stock,market_trend200_crypto,r_code,run_id,scoring_version,rank,universe_size,rank_percentile,observation_type,data_source,as_of,generated_at,snapshot_id,schema_version
2026-09-20,RIGD.IL,RELIANCE INDS,19.76,41.77,35.19,46.1,LOW,-0.13247559785647767,-0.13742238208472013,100.0,50.79999923706055,USD,Energy,Playground,Oil & Gas Refining & Marketing,playground,0.2312285510226467,0.2812122238637985,0.0,11.7,7.43,37.389,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,118,198,0.5959595959595959,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,SMX,SMX (Security Matters) Public,2.42,29.94,81.14,31.9,LOW,0.05080090590460817,-0.9181739833956978,53.8,17.010000228881836,USD,Industrials,Playground,Specialty Business Services,playground,13.53570842689953,0.9993179106435013,-210.65,0.0,0.0,50.074,bull,bull,0.0690614086857908,0.1506120285518029,R1,github-35528192164-1,v1,198,198,1.0,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,6506.T,YASKAWA ELECTRIC CORPORATION,16.87,42.23,50.39,47.7,LOW,-0.4065095372283736,-0.17456990334992584,0.0,4383.0,JPY,Industrials,S1 Hardware,Electrical Equipment & Parts,pillar,0.624219003410574,0.43462997798848957,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,143,198,0.7222222222222222,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,DIS,THE WALT DISNEY COMPANY,26.42,50.12,29.3,51.6,MED,-0.01595510306585135,-0.007344883020698356,0.0,102.66999816894531,USD,Communication Services,S19 Medien & Unterhaltung,Entertainment,pillar,0.26649059620802873,0.20245083866478664,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,54,198,0.2727272727272727,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,TEAM,ATLASSIAN CORP.,24.06,57.54,63.51,47.9,LOW,1.375669432225049,0.7303008248681446,0.0,192.02000427246094,USD,Technology,S2 Gehirn,Software - Application,pillar,0.78312861343206,0.6754316166993615,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,81,198,0.4090909090909091,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,UBER,UBER TECH. DL,23.95,48.61,36.42,52.4,MED,-0.03880111788823992,-0.0683494526977394,0.0,70.5,USD,Technology,S15 Mobilität,Software - Application,pillar,0.35330969009671087,0.3412587068275156,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,83,198,0.41919191919191917,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,NOW,SERVICENOW INC.,24.79,56.29,56.16,49.9,LOW,0.4307286582878953,0.15400021712303769,0.0,135.47000122070312,USD,Technology,S2 Gehirn,Software - Application,pillar,0.5742092345402543,0.5682255535309814,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,71,198,0.35858585858585856,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,ILMN,ILLUMINA INC.,28.9,57.27,39.64,61.7,MED,0.45903699169835965,0.5354458839176275,0.0,239.6199951171875,USD,Healthcare,S13 Gesundheit,Diagnostics & Research,pillar,0.4918878349846213,0.2566417362133443,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R4,github-35528192164-1,v1,32,198,0.16161616161616163,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,HIMS,"HIMS & HERS HEALTH, INC.",15.61,47.03,71.2,36.4,LOW,-0.19125546449302966,0.00026622947203636116,0.0,27.989999771118164,USD,Healthcare,S13 Gesundheit,Drug Manufacturers - Specialty & Generic,pillar,0.9186081479144381,0.7686424339373858,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,151,198,0.7626262626262627,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,SHOP,SHOPIFY INC.,23.05,52.82,53.75,50.4,MED,0.16425378063950635,-0.014155878214086481,0.0,128.5,USD,Technology,S2 Gehirn,Software - Application,pillar,0.5866126447058649,0.4670688539558845,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,89,198,0.4494949494949495,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,MP,MP MATERIALS CORP.,14.72,43.64,64.98,36.3,LOW,-0.24190349043928616,-0.17489922596597374,0.0,47.2599983215332,USD,Basic Materials,S4 Fundament,Other Industrial Metals & Mining,pillar,0.7596934737061019,0.6137861339604105,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,156,198,0.7878787878787878,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,USAR,"USA RARE EARTH, INC.",11.99,42.05,73.03,35.9,LOW,-0.3885508868865979,-0.20656635478312468,0.0,15.369999885559082,USD,Basic Materials,S4 Fundament,Other Industrial Metals & Mining,pillar,1.1336032471237771,0.6923474786803988,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R1,github-35528192164-1,v1,176,198,0.8888888888888888,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,ROL,"ROLLINS, INC.",18.09,41.98,43.79,42.2,LOW,-0.29198224613210555,-0.36046204500896717,0.0,32.43000030517578,USD,Consumer Cyclical,S11 Konsum,Personal Services,pillar,0.2717254417436445,0.5000247596054037,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,136,198,0.6868686868686869,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,WM,"WASTE MANAGEMENT, INC.",26.32,48.89,25.96,50.7,MED,-0.03176809354044663,-0.05464975330949795,0.0,211.10000610351562,USD,Industrials,S5 Recycling,Waste Management,pillar,0.20286699760984994,0.13877399974560178,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,55,198,0.2777777777777778,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,LIN,LINDE PLC,25.34,47.16,25.33,51.9,MED,-0.13182506528228122,-0.04070631708142336,0.0,460.3999938964844,USD,Basic Materials,S4 Fundament,Specialty Chemicals,pillar,0.19019204860971795,0.18570231296501438,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,64,198,0.32323232323232326,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,WDAY,"WORKDAY, INC.",25.83,56.91,53.16,54.7,MED,0.6892751859744677,0.2212683235923676,0.0,193.8699951171875,USD,Technology,S2 Gehirn,Software - Application,pillar,0.5428171563003348,0.5458032262460286,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,58,198,0.29292929292929293,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,NPN.JO,NASPERS LIMITED CLASS N,20.92,44.13,36.97,54.7,MED,-0.17687284029204575,-0.2104596163947393,0.0,71460.0,ZAc,Consumer Cyclical,S2 Gehirn,Internet Retail,pillar,0.3600117975601719,0.4526684215574759,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,113,198,0.5707070707070707,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,NBIS,NEBIUS GROUP N.V.,19.29,49.45,61.17,52.1,MED,-0.23758630043714635,0.3909952303175084,0.0,223.5399932861328,USD,Communication Services,S2 Gehirn,Internet Content & Information,pillar,1.0922369874761664,0.4829955702728198,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,123,198,0.6212121212121212,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,ENSG,"THE ENSIGN GROUP, INC.",25.14,50.86,37.72,52.5,MED,0.08393603826915008,-0.04353360421638908,0.0,173.91000366210938,USD,Healthcare,S13 Gesundheit,Medical Care Facilities,pillar,0.27892212466158894,0.31808492258302146,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,67,198,0.3383838383838384,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,WYFI,"WHITEFIBER, INC.",11.64,42.74,76.87,33.5,LOW,-0.6020601518328597,-0.11918310528304099,0.0,18.969999313354492,USD,Technology,S2 Gehirn,Information Technology Services,pillar,1.265184728129275,0.7245080644335788,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R1,github-35528192164-1,v1,178,198,0.898989898989899,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,APP,APPLOVIN CORPORATION,13.65,41.42,63.23,39.3,LOW,-0.36948279943783824,-0.3518852030032552,0.0,308.05999755859375,USD,Communication Services,S2 Gehirn,Advertising Agencies,pillar,0.7345431549753562,0.5929798169644127,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R1,github-35528192164-1,v1,161,198,0.8131313131313131,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,KLAR,KLARNA GROUP PLC,13.13,42.92,70.34,34.7,LOW,-0.25783475647908316,-0.2722133077767501,0.0,13.800000190734863,USD,Financial Services,S21 Finanzsystem,Credit Services,pillar,0.7030036622644737,0.7200547582667437,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R1,github-35528192164-1,v1,165,198,0.8333333333333334,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
