row_index,date,symbol,name,status,detail,mapped_yahoo,metric,value,method
,,CRYPTO:ADA,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:BTC,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:DOGE,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:ETH,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:SOL,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:XRP,,yahoo_fetch_failed,No usable daily history returned,,,,
,,DV.V,,yahoo_fetch_failed,No usable daily history returned,,,,
,,SLVR.V,,yahoo_fetch_failed,No usable daily history returned,,,,
466,2026-03-01,ASX,,filled,,ASX,drawdown,0.2789115619870224,dd_calendar_1y
467,2026-03-01,AU0000297962,,filled,,NEM.AX,volatility,0.0259006057133053,vol_1y
467,2026-03-01,AU0000297962,,filled,,NEM.AX,drawdown,0.211923254152101,dd_calendar_1y
468,2026-03-01,AUTO.OL,,filled,,AUTO.OL,volatility,0.04488841330893833,vol_1y
468,2026-03-01,AUTO.OL,,filled,,AUTO.OL,drawdown,0.5818345194943639,dd_calendar_1y
469,2026-03-01,BAYN.DE,,filled,,BAYN.DE,volatility,0.02575436617779112,vol_1y
469,2026-03-01,BAYN.DE,,filled,,BAYN.DE,drawdown,0.21673700762169212,dd_calendar_1y
470,2026-03-01,BE0003470755,,filled,,SOLB.BR,volatility,0.017678708213204355,vol_1y
470,2026-03-01,BE0003470755,,filled,,SOLB.BR,drawdown,0.2433092184458875,dd_calendar_1y
471,2026-03-01,BIDU,,filled,,BIDU,volatility,0.030670169345759765,vol_1y
471,2026-03-01,BIDU,,filled,,BIDU,drawdown,0.2502195004521742,dd_calendar_1y
472,2026-03-01,BLK,,filled,,BLK,volatility,0.017701564720675415,vol_1y
472,2026-03-01,BLK,,filled,,BLK,drawdown,0.1746811747296948,dd_calendar_1y
473,2026-03-01,BRVALEACNOR0,,filled,,VALE,volatility,0.019508544254640978,vol_1y
473,2026-03-01,BRVALEACNOR0,,filled,,VALE,drawdown,0.18940126554525827,dd_calendar_1y
474,2026-03-01,CA00831V2057,,filled,,AAGFF,volatility,0.05739528481570333,vol_1y
474,2026-03-01,CA00831V2057,,filled,,AAGFF,drawdown,0.4049159027042465,dd_calendar_1y
475,2026-03-01,CA0084741085,,filled,,AEM,volatility,0.02606597172775434,vol_1y
475,2026-03-01,CA0084741085,,filled,,AEM,drawdown,0.1635941576555482,dd_calendar_1y
476,2026-03-01,CA0115321089,,filled,,AGI.TO,volatility,0.02980685889080315,vol_1y
476,2026-03-01,CA0115321089,,filled,,AGI.TO,drawdown,0.21016377127638886,dd_calendar_1y
477,2026-03-01,CA0539061030,,filled,,ASM.TO,volatility,0.0521994726574593,vol_1y
477,2026-03-01,CA0539061030,,filled,,ASM.TO,drawdown,0.3621444524381038,dd_calendar_1y
478,2026-03-01,CA06849F1080,,filled,,ABX.TO,volatility,0.02570069293201109,vol_1y
478,2026-03-01,CA06849F1080,,filled,,ABX.TO,drawdown,0.16323412072907273,dd_calendar_1y
479,2026-03-01,CA11777Q2099,,filled,,BTO.TO,volatility,0.0321387514533623,vol_1y
479,2026-03-01,CA11777Q2099,,filled,,BTO.TO,drawdown,0.3557691276494651,dd_calendar_1y
480,2026-03-01,CA2546771072,,filled,,DSV.TO,volatility,0.050108436845807236,vol_1y
480,2026-03-01,CA2546771072,,filled,,DSV.TO,drawdown,0.24299069661166095,dd_calendar_1y
482,2026-03-01,CA29258Y1034,,filled,,EDR.TO,volatility,0.04937386562054021,vol_1y
482,2026-03-01,CA29258Y1034,,filled,,EDR.TO,drawdown,0.3673758982292906,dd_calendar_1y
483,2026-03-01,CA29446Y5020,,filled,,EQX.TO,volatility,0.03430643200054402,vol_1y
483,2026-03-01,CA29446Y5020,,filled,,EQX.TO,drawdown,0.23198418130153087,dd_calendar_1y
484,2026-03-01,CA32076V1031,,filled,,AG.TO,volatility,0.04490271073056125,vol_1y
484,2026-03-01,CA32076V1031,,filled,,AG.TO,drawdown,0.30129991786311316,dd_calendar_1y
485,2026-03-01,CA38171A2092,,filled,,GOT.V,volatility,0.042998977204350815,vol_1y
485,2026-03-01,CA38171A2092,,filled,,GOT.V,drawdown,0.362170118014397,dd_calendar_1y
486,2026-03-01,CA5589221004,,filled,,MGMA.V,volatility,0.08732831840423654,vol_1y
486,2026-03-01,CA5589221004,,filled,,MGMA.V,drawdown,0.6530612275929115,dd_calendar_1y
487,2026-03-01,CA6979001089,,filled,,PAAS.TO,volatility,0.0338922454759062,vol_1y
487,2026-03-01,CA6979001089,,filled,,PAAS.TO,drawdown,0.20795939767802907,dd_calendar_1y
489,2026-03-01,CA92859G6085,,filled,,VZLA.TO,volatility,0.04175021050553633,vol_1y
489,2026-03-01,CA92859G6085,,filled,,VZLA.TO,drawdown,0.4686825102931941,dd_calendar_1y
490,2026-03-01,CA9628791027,,filled,,WPM.TO,volatility,0.02455776105608428,vol_1y
490,2026-03-01,CA9628791027,,filled,,WPM.TO,drawdown,0.17106826547390064,dd_calendar_1y
491,2026-03-01,CCJ,,filled,,CCJ,volatility,0.03306533365833105,vol_1y
491,2026-03-01,CCJ,,filled,,CCJ,drawdown,0.25694508746340994,dd_calendar_1y
492,2026-03-01,CDNL,,filled,,CDNL,volatility,0.06033553321995201,vol_1y
492,2026-03-01,CDNL,,filled,,CDNL,drawdown,0.2569982809417143,dd_calendar_1y
493,2026-03-01,CGNX,,filled,,CGNX,volatility,0.03799918907515369,vol_1y
493,2026-03-01,CGNX,,filled,,CGNX,drawdown,0.3149837661545293,dd_calendar_1y
494,2026-03-01,CNE1000003W8,,filled,,0857.HK,volatility,0.018164524032461955,vol_1y
494,2026-03-01,CNE1000003W8,,filled,,0857.HK,drawdown,0.1900311221337504,dd_calendar_1y
495,2026-03-01,CNE100000502,,filled,,2899.HK,volatility,0.029725846913828013,vol_1y
495,2026-03-01,CNE100000502,,filled,,2899.HK,drawdown,0.2265371820253158,dd_calendar_1y
496,2026-03-01,CNE100006CQ4,,filled,,9880.HK,volatility,0.041037847354167295,vol_1y
496,2026-03-01,CNE100006CQ4,,filled,,9880.HK,drawdown,0.45654204181421587,dd_calendar_1y
497,2026-03-01,CNE100006WS8,,filled,,3750.HK,volatility,0.025247499990420207,vol_1y
497,2026-03-01,CNE100006WS8,,filled,,3750.HK,drawdown,0.23832928844874735,dd_calendar_1y
504,2026-03-01,CSTM,,filled,,CSTM,volatility,0.0316080524884644,vol_1y
504,2026-03-01,CSTM,,filled,,CSTM,drawdown,0.37245317669136113,dd_calendar_1y
505,2026-03-01,CVX,,filled,,CVX,volatility,0.0156943991430785,vol_1y
505,2026-03-01,CVX,,filled,,CVX,drawdown,0.20639729916472582,dd_calendar_1y
506,2026-03-01,DB1.DE,,filled,,DB1.DE,volatility,0.015363279526557683,vol_1y
506,2026-03-01,DB1.DE,,filled,,DB1.DE,drawdown,0.2961453914619113,dd_calendar_1y
507,2026-03-01,DE0005785802,,filled,,FME.DE,volatility,0.018912881128779282,vol_1y
507,2026-03-01,DE0005785802,,filled,,FME.DE,drawdown,0.3144054786149312,dd_calendar_1y
508,2026-03-01,DE0007446007,,filled,,TTK.DE,volatility,0.021300285080140292,vol_1y
508,2026-03-01,DE0007446007,,filled,,TTK.DE,drawdown,0.5920587457493103,dd_calendar_1y
508,2026-03-01,DE0007446007,,filled,,TTK.DE,rs3m,-0.20419096928796499,rel_current63
508,2026-03-01,DE0007446007,,filled,,TTK.DE,trend200,-0.3363282018401219,trend_200
509,2026-03-01,DE000ENER6Y0,,filled,,ENR.DE,volatility,0.030949840851757875,vol_1y
509,2026-03-01,DE000ENER6Y0,,filled,,ENR.DE,drawdown,0.2287166213666455,dd_calendar_1y
509,2026-03-01,DE000ENER6Y0,,filled,,ENR.DE,rs3m,0.6143470533958768,rel_current63
509,2026-03-01,DE000ENER6Y0,,filled,,ENR.DE,trend200,0.5374883476386949,trend_200
510,2026-03-01,DK0062498333,,filled,,NOVO-B.CO,volatility,0.03558506890045098,vol_1y
510,2026-03-01,DK0062498333,,filled,,NOVO-B.CO,drawdown,0.6171119185143012,dd_calendar_1y
511,2026-03-01,DVLT,,filled,,DVLT,volatility,0.1297231626051535,vol_1y
511,2026-03-01,DVLT,,filled,,DVLT,drawdown,0.8479532253431973,dd_calendar_1y
512,2026-03-01,FANUY,,filled,,FANUY,volatility,0.024903188666953853,vol_1y
512,2026-03-01,FANUY,,filled,,FANUY,drawdown,0.25524927223823557,dd_calendar_1y
513,2026-03-01,FCX,,filled,,FCX,volatility,0.031916635028689494,vol_1y
513,2026-03-01,FCX,,filled,,FCX,drawdown,0.3222506333786649,dd_calendar_1y
514,2026-03-01,FIGR,,filled,,FIGR,volatility,0.07109234753719966,vol_1y
514,2026-03-01,FIGR,,filled,,FIGR,drawdown,0.6579623943435748,dd_calendar_1y
515,2026-03-01,FLNC,,filled,,FLNC,volatility,0.0692423498379346,vol_1y
515,2026-03-01,FLNC,,filled,,FLNC,drawdown,0.5178405155889505,dd_calendar_1y
516,2026-03-01,FR0000120693,,filled,,RI.PA,volatility,0.017837808885275086,vol_1y
516,2026-03-01,FR0000120693,,filled,,RI.PA,drawdown,0.28034265025910154,dd_calendar_1y
517,2026-03-01,FR0000121014,,filled,,MC.PA,volatility,0.02020488560631089,vol_1y
517,2026-03-01,FR0000121014,,filled,,MC.PA,drawdown,0.356964188084689,dd_calendar_1y
518,2026-03-01,FSLR,,filled,,FSLR,volatility,0.04046567500391794,vol_1y
518,2026-03-01,FSLR,,filled,,FSLR,drawdown,0.3070733353743441,dd_calendar_1y
519,2026-03-01,GB0009223206,,filled,,SN.L,volatility,0.01777050718916634,vol_1y
519,2026-03-01,GB0009223206,,filled,,SN.L,drawdown,0.20310192782244707,dd_calendar_1y
520,2026-03-01,GB00B2QPKJ12,,filled,,FRES.L,volatility,0.03183363780589456,vol_1y
520,2026-03-01,GB00B2QPKJ12,,filled,,FRES.L,drawdown,0.20852352984908185,dd_calendar_1y
521,2026-03-01,GMED,,filled,,GMED,volatility,0.0339555501706132,vol_1y
521,2026-03-01,GMED,,filled,,GMED,drawdown,0.34523660076153395,dd_calendar_1y
522,2026-03-01,GOOGL,,filled,,GOOGL,volatility,0.019510037515327816,vol_1y
522,2026-03-01,GOOGL,,filled,,GOOGL,drawdown,0.16676271522203634,dd_calendar_1y
523,2026-03-01,HMY,,filled,,HMY,volatility,0.04044715499606535,vol_1y
523,2026-03-01,HMY,,filled,,HMY,drawdown,0.3063927289635353,dd_calendar_1y
524,2026-03-01,IFX.DE,,filled,,IFX.DE,volatility,0.0236598083247433,vol_1y
524,2026-03-01,IFX.DE,,filled,,IFX.DE,drawdown,0.3390797028700714,dd_calendar_1y
525,2026-03-01,INCY,,filled,,INCY,volatility,0.02205872540352619,vol_1y
525,2026-03-01,INCY,,filled,,INCY,drawdown,0.2243778954132567,dd_calendar_1y
526,2026-03-01,ISRG,,filled,,ISRG,volatility,0.02244536893291749,vol_1y
526,2026-03-01,ISRG,,filled,,ISRG,drawdown,0.2437062399800568,dd_calendar_1y
527,2026-03-01,JE00BF50RG45,,filled,,YCA.L,volatility,0.023697796921470986,vol_1y
527,2026-03-01,JE00BF50RG45,,filled,,YCA.L,drawdown,0.17273897353021994,dd_calendar_1y
528,2026-03-01,JNJ,,filled,,JNJ,volatility,0.012000085476943452,vol_1y
528,2026-03-01,JNJ,,filled,,JNJ,drawdown,0.1272511479647057,dd_calendar_1y
529,2026-03-01,JP3236200006,,filled,,6861.T,volatility,0.020735497255452404,vol_1y
529,2026-03-01,JP3236200006,,filled,,6861.T,drawdown,0.1830051990984991,dd_calendar_1y
530,2026-03-01,JP3902400005,,filled,,6503.T,volatility,0.024211290631470813,vol_1y
530,2026-03-01,JP3902400005,,filled,,6503.T,drawdown,0.24084525790677958,dd_calendar_1y
531,2026-03-01,KEP,,filled,,KEP,volatility,0.032357658701016936,vol_1y
531,2026-03-01,KEP,,filled,,KEP,drawdown,0.16165091108696816,dd_calendar_1y
532,2026-03-01,KLAC,,filled,,KLAC,volatility,0.030204455615834076,vol_1y
532,2026-03-01,KLAC,,filled,,KLAC,drawdown,0.2240680946660657,dd_calendar_1y
533,2026-03-01,KO,,filled,,KO,volatility,0.010663619106032059,vol_1y
533,2026-03-01,KO,,filled,,KO,drawdown,0.09818503430393366,dd_calendar_1y
534,2026-03-01,KYG875721634,,filled,,0700.HK,volatility,0.01836156411474157,vol_1y
534,2026-03-01,KYG875721634,,filled,,0700.HK,drawdown,0.24428042669546157,dd_calendar_1y
535,2026-03-01,KYG9830T1067,,filled,,1810.HK,volatility,0.02789399891456091,vol_1y
535,2026-03-01,KYG9830T1067,,filled,,1810.HK,drawdown,0.4354115008648549,dd_calendar_1y
536,2026-03-01,LGO,,filled,,LGO,volatility,0.05874832596739662,vol_1y
536,2026-03-01,LGO,,filled,,LGO,drawdown,0.6468253998289063,dd_calendar_1y
537,2026-03-01,LRCX,,filled,,LRCX,volatility,0.03257458498773376,vol_1y
537,2026-03-01,LRCX,,filled,,LRCX,drawdown,0.25249838597261354,dd_calendar_1y
538,2026-03-01,LU1778762911,,filled,,SPOT,volatility,0.02976266042307136,vol_1y
538,2026-03-01,LU1778762911,,filled,,SPOT,drawdown,0.4680371349237977,dd_calendar_1y
539,2026-03-01,MBLY,,filled,,MBLY,volatility,0.03504024275133235,vol_1y
539,2026-03-01,MBLY,,filled,,MBLY,drawdown,0.5597484459057231,dd_calendar_1y
540,2026-03-01,MELI,,filled,,MELI,volatility,0.02480451788200918,vol_1y
